clusterID	gene_ident	gene_mass	gene	protein_mass	avg_logFC	qvalue	num	anum	mean	median	num_bg	anum_bg	mean_bg	median_bg
14	mass_15529_44925072235	15529.44925072235	Cst3	15531.0	0.9193568120043952	0.002596083773397852	22	22	0.0038764428622512655	0.003890919149853289	638	626	0.002049649470759975	0.0018855321104638278
14	mass_15530_958383935675	15530.958383935675	Cst3	15531.0	0.931922899019413	0.002577578683872524	22	22	0.0038417096101594243	0.003848247230052948	638	629	0.0020136684761667746	0.0018282452947460115
14	mass_15532_467517148998	15532.467517148998	Cst3	15531.0	0.9650050726366484	0.002400818190761445	22	21	0.0038369060070677237	0.0037696685176342726	638	625	0.001965557471897949	0.001808580127544701
14	mass_15533_976650362323	15533.976650362323	Cst3	15531.0	1.0135128445694435	0.0021460770527977537	22	22	0.003924198765988959	0.0038690390065312386	638	623	0.001943806850754171	0.0017535844817757607
14	mass_15535_485783575647	15535.485783575647	Tomm22	15537.0	1.0485339964222133	0.0017210249245388095	22	22	0.00395513911048924	0.004018822684884071	638	619	0.0019121484288876776	0.0017462606774643064
14	mass_15536_994916788972	15536.994916788972	Tomm22	15537.0	1.1076411888143394	0.00032996826143770626	22	22	0.003911826033965388	0.004104885272681713	638	618	0.0018152915634511207	0.0016740782302804291
14	mass_15538_504050002295	15538.504050002295	Tomm22	15537.0	1.2262016704842937	4.4294859716589924e-05	22	21	0.004136341581629081	0.004406368127092719	638	620	0.001768041424061074	0.0015752360341139138
14	mass_15570_195847482106	15570.195847482106	Fam107b	15572.0	2.9778769605888864	5.4670056108107125e-09	22	22	0.012616041645577008	0.011490162927657366	638	610	0.0016013743091586481	0.0014056215295568109
14	mass_15571_70498069543	15571.70498069543	Fam107b	15572.0	2.9991195066550884	6.767372435010202e-09	22	22	0.013152977980842645	0.01162146870046854	638	610	0.0016451261200134946	0.0014638275024481118
14	mass_15573_214113908754	15573.214113908754	Fam107b	15572.0	3.0314955158159256	8.38532648481121e-09	22	22	0.013662170385941863	0.011843712069094181	638	612	0.0016708924565727013	0.0015056440606713295
14	mass_15574_723247122078	15574.723247122078	Fam107b	15572.0	3.079653608032828	8.612339655708007e-09	22	22	0.01419929660518061	0.012421571649610996	638	615	0.0016795729328146864	0.001501940656453371
14	mass_15588_305446041995	15588.305446041995	Ccdc126	15590.0	3.4086263843480573	3.797426773333606e-09	22	22	0.02112573351372372	0.02145696710795164	638	627	0.0019893593499529364	0.0017110510380007327
14	mass_15589_81457925532	15589.81457925532	Ccdc126	15590.0	3.450707796723461	2.974338515781464e-09	22	22	0.0234136547554623	0.0229393495246768	638	626	0.002141424261925062	0.0018249799613840878
14	mass_15591_323712468644	15591.323712468644	Ccdc126	15590.0	3.481878874627965	2.873391501011894e-09	22	22	0.02505616124042056	0.0244168508797884	638	624	0.0022426638555297926	0.0019211252802051604
14	mass_15592_832845681969	15592.832845681969	Ccdc126	15590.0	3.532708363652282	2.8780215458805016e-09	22	22	0.026775410187176683	0.025622356683015823	638	622	0.0023135815628768093	0.0019422665936872363
14	mass_15671_30777277483	15671.30777277483	Fam136a	15674.0	1.8166044987704197	9.67630430918535e-09	22	22	0.00933889706026424	0.008925713133066893	638	632	0.0026512052642677967	0.002519638743251562
14	mass_15672_816905988155	15672.816905988155	Fam136a	15674.0	1.7766403779560354	7.860391223477953e-09	22	22	0.008974656293337996	0.008823652751743793	638	633	0.0026193640176267042	0.0024861827259883285
14	mass_15674_326039201478	15674.326039201478	Cisd3	15676.0	1.7145236107483768	7.89036796642204e-09	22	22	0.00838528308932754	0.008160332217812538	638	632	0.0025550212829153355	0.0024225827073678374
14	mass_15674_326039201478	15674.326039201478	Fam136a	15674.0	1.7145236107483768	7.89036796642204e-09	22	22	0.00838528308932754	0.008160332217812538	638	632	0.0025550212829153355	0.0024225827073678374
14	mass_15675_835172414803	15675.835172414803	Cisd3	15676.0	1.624334035818017	1.5423075552817545e-08	22	22	0.007788574598221617	0.007462396752089262	638	635	0.002526298679353001	0.002397328498773277
14	mass_15675_835172414803	15675.835172414803	Fam136a	15674.0	1.624334035818017	1.5423075552817545e-08	22	22	0.007788574598221617	0.007462396752089262	638	635	0.002526298679353001	0.002397328498773277
14	mass_15677_344305628127	15677.344305628127	Cisd3	15676.0	1.567843078445672	3.646100010233947e-08	22	22	0.007369130765172568	0.007163654547184706	638	634	0.002485700909520549	0.0023875521728768945
14	mass_15678_853438841452	15678.853438841452	Cisd3	15676.0	1.4953437049987166	9.066079090643386e-08	22	22	0.006964711567640982	0.006697698729112744	638	634	0.00247035693446435	0.0023362922947853804
14	mass_15763_36489878761	15763.36489878761	Pomp	15766.0	1.0609875272852127	0.0021782577429544075	22	22	0.0024248888803413138	0.0021487995982170105	638	594	0.001162257808204271	0.001056937559042126
14	mass_15764_874032000933	15764.874032000933	Pomp	15766.0	1.1828743254533216	0.0005994485945599924	22	22	0.002722233809022741	0.0025120917707681656	638	602	0.001199070741959568	0.0011036617797799408
14	mass_15766_383165214258	15766.383165214258	Pomp	15766.0	1.2861281778484117	0.00019913637364295304	22	22	0.00301574743934907	0.002812074148096144	638	600	0.001236607706148355	0.0011588710476644337
14	mass_15767_892298427581	15767.892298427581	Pomp	15766.0	1.3914005474009314	5.964382927329743e-05	22	22	0.003272656618553976	0.003116389852948487	638	597	0.00124751905590001	0.0011550441267900169
14	mass_15773_928831280879	15773.928831280879	Ttr	15776.0	1.8099300296022762	9.913939158046684e-07	22	22	0.004710601854392074	0.00503080990165472	638	608	0.001343486132492961	0.0012140910839661956
14	mass_15775_437964494204	15775.437964494204	Ttr	15776.0	1.8317129852966474	9.130062537789828e-07	22	22	0.004853413080457936	0.0052529142703861	638	606	0.0013634738982059146	0.0012358124367892742
14	mass_15776_947097707527	15776.947097707527	Ttr	15776.0	1.8749585950644863	8.668477048069562e-07	22	22	0.00494195101253519	0.00534459576010704	638	605	0.0013473475625205024	0.0011849417933262885
14	mass_15778_456230920852	15778.456230920852	Ttr	15776.0	1.9253668086617028	5.836128339653756e-07	22	22	0.005073256780054759	0.0054808128625154495	638	603	0.0013356531404457304	0.0011657464201562107
14	mass_15789_020163414121	15789.020163414121	Golga7	15792.0	1.6344987651075562	0.00010579082850924328	22	22	0.004551344477063553	0.004200467141345143	638	614	0.0014659069376636287	0.0013617402291856706
