clusterID	gene_ident	gene_mass	gene	protein_mass	avg_logFC	qvalue	num	anum	mean	median	num_bg	anum_bg	mean_bg	median_bg
9	mass_14951_451230019162	14951.451230019162	Ifitm3	14954.0	-0.5546646640616877	4.488700329252513e-05	114	113	0.545904877942006	0.4701613118542062	512	510	0.8018398655586301	0.5302863301937675
9	mass_14952_960363232487	14952.960363232487	Ifitm3	14954.0	-0.5681070338062743	3.666061378931976e-05	114	113	0.5625442332838797	0.48056120773108646	512	510	0.8340153340444834	0.5396442980049325
9	mass_14954_46949644581	14954.46949644581	Pfn1	14957.0	-0.5949095316204719	2.7156739992784597e-05	114	113	0.5904798347650035	0.529906816174263	512	509	0.8918477869669941	0.5662335844937638
9	mass_14954_46949644581	14954.46949644581	Ifitm3	14954.0	-0.5949095316204719	2.7156739992784597e-05	114	113	0.5904798347650035	0.529906816174263	512	509	0.8918477869669941	0.5662335844937638
9	mass_14955_978629659136	14955.978629659136	Pfn1	14957.0	-0.6051790766441122	2.84383803907678e-05	114	113	0.6362607249104287	0.5487526964547496	512	511	0.9678591304328815	0.6112571926987325
9	mass_14955_978629659136	14955.978629659136	Ifitm3	14954.0	-0.6051790766441122	2.84383803907678e-05	114	113	0.6362607249104287	0.5487526964547496	512	511	0.9678591304328815	0.6112571926987325
9	mass_14957_487762872459	14957.487762872459	Pfn1	14957.0	-0.6010306289774701	3.8307558819109284e-05	114	113	0.6724674447811554	0.5831028060128565	512	511	1.0199982945908117	0.6363531848032897
9	mass_14958_996896085784	14958.996896085784	Pfn1	14957.0	-0.6045109528749816	3.586894237317508e-05	114	112	0.7101449790101857	0.6009963682870266	512	512	1.0797495776991708	0.6636072561387965
9	mass_14980_124761072322	14980.124761072322	Ndufa11	14982.0	-0.6555011234627828	7.410043420012434e-05	114	114	2.421965227244656	1.7018823057233572	512	512	3.8149910282122876	2.019599815083362
9	mass_14981_633894285647	14981.633894285647	Ndufa11	14982.0	-0.6385292381660627	0.00012905671602607728	114	114	2.4798022622007037	1.7053800576666323	512	512	3.860409829751783	2.0077157516292257
9	mass_14983_14302749897	14983.14302749897	Ndufa11	14982.0	-0.6113492804678553	0.00026198263392164186	114	114	2.422164059138151	1.6544230331924936	512	512	3.7003100568458827	1.8865353074788014
9	mass_14984_652160712296	14984.652160712296	Ndufa11	14982.0	-0.595597491826118	0.0003767411767615802	114	114	2.301064220300582	1.6051684603880803	512	512	3.477134319766139	1.7555968965420574
9	mass_14984_652160712296	14984.652160712296	Cend1	14987.0	-0.595597491826118	0.0003767411767615802	114	114	2.301064220300582	1.6051684603880803	512	512	3.477134319766139	1.7555968965420574
9	mass_14986_16129392562	14986.16129392562	Cend1	14987.0	-0.582326551126482	0.000499484335128154	114	114	2.136072356510195	1.4818823115529227	512	512	3.1982590082179394	1.6344776903225937
9	mass_14987_670427138944	14987.670427138944	Cend1	14987.0	-0.5681986669874864	0.000616398771699496	114	114	1.9562229855132547	1.3650350708350596	512	512	2.9004359231465493	1.494788887301647
9	mass_14989_179560352268	14989.179560352268	Cend1	14987.0	-0.5596028331290814	0.0006272477234663331	114	114	1.7684275425193996	1.2303846991601026	512	512	2.6064208493869647	1.3551021916588915
9	mass_15571_70498069543	15571.70498069543	Fam107b	15572.0	-0.5076952700757292	0.000567166306452574	114	109	0.27013600584796993	0.24650836353490477	512	491	0.3840730058475821	0.2855559740349043
9	mass_15573_214113908754	15573.214113908754	Fam107b	15572.0	-0.5358420432632585	0.0002302230028632661	114	110	0.2706845521974737	0.2348952841234394	512	491	0.3924352014378859	0.2910582610143195
9	mass_15574_723247122078	15574.723247122078	Fam107b	15572.0	-0.5580744093810558	0.0001261058183317731	114	111	0.2710348648197942	0.2542405510534682	512	496	0.39904534467116914	0.29035441219397207
9	mass_15588_305446041995	15588.305446041995	Ccdc126	15590.0	-0.5546617840899517	0.0009365239156737226	114	108	0.34239388972925516	0.31412878375967784	512	507	0.5029165013306746	0.3221704149728968
9	mass_15589_81457925532	15589.81457925532	Ccdc126	15590.0	-0.5651764773475846	0.0008248650629113979	114	110	0.36830206522209424	0.3433326137937882	512	505	0.5449280016517962	0.3463558492492596
9	mass_15591_323712468644	15591.323712468644	Ccdc126	15590.0	-0.5769185650329398	0.0007510901219543233	114	111	0.38458839869691114	0.3521558653798571	512	502	0.5736749025491723	0.3532993194890065
9	mass_15592_832845681969	15592.832845681969	Ccdc126	15590.0	-0.5908321842278533	0.00074650458534533	114	111	0.39712152679269574	0.3544999827178689	512	500	0.5981104198044225	0.36095666409093563
13	mass_5022_8638195589165	5022.8638195589165	Tmsb10	5025.6	-0.5345072238333611	7.299194849630746e-06	144	136	0.3561144332314517	0.3257231446942707	482	474	0.5158129469414815	0.4486759248941345
13	mass_5024_372952772241	5024.372952772241	Tmsb10	5025.6	-0.5072845535688901	3.34949687286489e-05	144	139	0.34659038931751934	0.30241836207030437	482	473	0.49263398334424574	0.4168257856876021
13	mass_7499_351422624012	7499.351422624012	Pcp4l1	7502.3	-0.93037007264659	3.2347610359441034e-19	144	141	0.5722336424284455	0.5618061688597251	482	479	1.0905427606724236	0.8434997525426098
13	mass_7500_8605558373365	7500.8605558373365	Pcp4l1	7502.3	-0.8229705705403259	2.6944998567486367e-17	144	143	0.5485630999006911	0.5564320135734049	482	481	0.9704328104544608	0.7517181638815255
13	mass_7502_369689050661	7502.369689050661	Pcp4l1	7502.3	-0.6900826500797317	1.8113776676334182e-14	144	140	0.5379493238879738	0.5347020312843329	482	476	0.8679141430217049	0.7216170246100535
